ID,Category,Name,Method,MethodArgument,RegistryPath,RegistryItem,ClassName,Namespace,Property,DefaultValue,RecommendedValue,Operator,Severity
1.1.6,Account Policies,Relax minimum password length limits,Registry,,HKLM:\System\CurrentControlSet\Control\SAM,RelaxMinimumPasswordLengthLimits,,,,0,1,=,Medium
100,Administrative Templates: Control Panel,Regional and Language Options: Handwriting personalization: Turn off automatic learning (RestrictImplicitInkCollection),Registry,,HKLM:\SOFTWARE\Policies\Microsoft\InputPersonalization,RestrictImplicitInkCollection,,,,,1,=,Medium
100,Administrative Templates: Control Panel,Regional and Language Options: Handwriting personalization: Turn off automatic learning (RestrictImplicitTextCollection),Registry,,HKLM:\SOFTWARE\Policies\Microsoft\InputPersonalization,RestrictImplicitTextCollection,,,,,1,=,Medium
1000,Schannel: TLS Settings: Protocols,Server: Multi-Protocol Unified Hello,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\Multi-Protocol Unified Hello\Server,Enabled,,,,,0,=,High
1000,Microsoft Edge,Allow users to proceed from the HTTPS warning page,Registry,,HKLM:\Software\Policies\Microsoft\Edge,SSLErrorOverrideAllowed,,,,1,0,=,Low
10000,Administrative Templates: Start Menu and Taskbar,Notifications: Turn off toast notifications on the lock screen,Registry,,HKCU:\SOFTWARE\Policies\Microsoft\Windows\CurrentVersion\PushNotifications,NoToastApplicationNotificationOnLockScreen,,,,0,1,=,Medium
10001,Administrative Templates: Windows Components,Cloud Content: Do not suggest third-party content in Windows spotlight,Registry,,HKCU:\Software\Policies\Microsoft\Windows\CloudContent,DisableThirdPartySuggestions,,,,0,1,=,Medium
10002,Internet Explorer,Turn on the auto-complete feature for user names and passwords on forms (Main),Registry,,HKCU:\Software\Policies\Microsoft\Internet Explorer\Main,FormSuggest Passwords,,,,,no,=,Medium
10003,Internet Explorer,Turn on the auto-complete feature for user names and passwords on forms (Control Panel),Registry,,HKCU:\Software\Policies\Microsoft\Internet Explorer\Control Panel,FormSuggest Passwords,,,,,1,=,Medium
10004,Internet Explorer,Turn on the auto-complete feature for user names and passwords on forms (Ask),Registry,,HKCU:\Software\Policies\Microsoft\Internet Explorer\Main,FormSuggest PW Ask,,,,,no,=,Medium
1001,Schannel: TLS Settings: Protocols,Server: Multi-Protocol Unified Hello (Disabledbydefault),Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\Multi-Protocol Unified Hello\Server,Disabledbydefault,,,,,1,=,High
1001,Microsoft Edge,Enable site isolation for every site,Registry,,HKLM:\Software\Policies\Microsoft\Edge,SitePerProcess,,,,0,1,=,Low
1002,Schannel: TLS Settings: Protocols,Client: Multi-Protocol Unified Hello,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\Multi-Protocol Unified Hello\Client,Enabled,,,,,0,=,High
1002,Microsoft Edge,Minimum TLS version enabled,Registry,,HKLM:\Software\Policies\Microsoft\Edge,SSLVersionMin,,,,0,tls1.2,=,Medium
1003,Microsoft Edge,Default Adobe Flash setting (obsolete),Registry,,HKLM:\Software\Policies\Microsoft\Edge,DefaultPluginsSetting,,,,0,2,=,Low
1003,Schannel: TLS Settings: Protocols,Client: Multi-Protocol Unified Hello (Disabledbydefault),Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\Multi-Protocol Unified Hello\Client,Disabledbydefault,,,,,1,=,High
1004,Microsoft Edge,Control which extensions cannot be installed,Registry,,HKLM:\Software\Policies\Microsoft\Edge\ExtensionInstallBlocklist,1,,,,0,*,=,Low
1004,Schannel: TLS Settings: Protocols,Server: PCT,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\PCT 1.0\Server,Enabled,,,,,0,=,High
1005,Microsoft Edge,Supported authentication schemes,Registry,,HKLM:\Software\Policies\Microsoft\Edge,AuthSchemes,,,,0,"ntlm,negotiate",=,Low
1005,Schannel: TLS Settings: Protocols,Server: PCT (Disabledbydefault),Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\PCT 1.0\Server,Disabledbydefault,,,,,1,=,High
1006,Schannel: TLS Settings: Protocols,Client: PCT,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\PCT 1.0\Client,Enabled,,,,,0,=,High
